image_path,xmin,ymin,xmax,ymax,label
forest_3 (1).jpg,313,2666,481,2792,Tree
forest_3 (1).jpg,3553,684,3742,894,Tree
forest_3 (1).jpg,2133,2135,2270,2340,Tree
forest_3 (1).jpg,381,2414,586,2588,Tree
forest_3 (1).jpg,2974,2035,3174,2198,Tree
forest_3 (1).jpg,508,21,781,216,Tree
forest_3 (3).jpg,2030,815,2220,964,Tree
forest_3 (3).jpg,42,41,232,263,Tree
forest_3 (3).jpg,676,5,1016,209,Tree
forest_3 (3).jpg,24,1137,223,1477,Tree
forest_3 (3).jpg,164,1608,422,1816,Tree
forest_3 (3).jpg,730,883,956,1082,Tree
forest_3 (3).jpg,861,1426,1083,1607,Tree
forest_3 (3).jpg,811,1739,1010,1902,Tree
forest_3 (3).jpg,2890,1263,3107,1508,Tree
forest_3 (3).jpg,2256,1096,2487,1291,Tree
forest_3 (3).jpg,1214,1997,1522,2160,Tree
forest_3 (3).jpg,3451,657,3831,883,Tree
forest_3 (3).jpg,3144,1698,3443,1965,Tree
forest_3 (3).jpg,2600,1829,2885,2101,Tree
forest_3 (3).jpg,626,398,798,633,Tree
forest_3 (3).jpg,1233,50,1459,285,Tree
forest_3 (3).jpg,2496,27,2745,244,Tree
forest_3 (3).jpg,3601,113,3836,380,Tree
forest_3 (3).jpg,3261,919,3474,1132,Tree
forest_3 (3).jpg,2428,403,2663,620,Tree
forest_3 (3).jpg,2917,349,3152,571,Tree
forest_3 (3).jpg,2709,996,2935,1222,Tree
forest_3 (3).jpg,1228,675,1504,929,Tree
forest_3 (3).jpg,1,752,277,983,Tree
forest_3 (3).jpg,3483,1263,3773,1521,Tree
forest_3 (3).jpg,1,1848,255,2142,Tree
forest_3 (3).jpg,1704,63,1971,308,Tree
forest_3 (3).jpg,377,1150,622,1435,Tree
forest_3 (3).jpg,1323,1417,1549,1689,Tree
forest_3 (3).jpg,2224,1834,2555,2110,Tree
forest_3 (3).jpg,2383,1345,2727,1580,Tree
forest_3 (3).jpg,1115,421,1459,661,Tree
forest_3 (3).jpg,150,521,354,639,Tree
forest_3 (3).jpg,2265,217,2446,326,Tree
forest_3 (3).jpg,1070,1752,1382,1983,Tree
forest_3 (3).jpg,522,1934,830,2129,Tree
forest_3 (3).jpg,1006,1037,1287,1313,Tree
forest_3 (3).jpg,2781,638,3098,946,Tree
forest_3 (3).jpg,3216,340,3510,621,Tree
forest_3 (3).jpg,3044,18,3347,285,Tree
forest_3 (3).jpg,3587,1816,3832,2124,Tree
forest_3 (3).jpg,1613,426,1830,711,Tree
forest_3 (3).jpg,2088,41,2301,181,Tree
forest_3 (3).jpg,291,299,486,489,Tree
forest_3 (3).jpg,476,878,662,1086,Tree
forest_3 (3).jpg,1971,417,2166,548,Tree
